"FA","mmse","moca","MMSEOrientation","MMSEComputation","MMSEMemory","MMSELanguageskill","MoCANaming","MoCAOrientation","MoCADelayedrecall","MoCAAbstractthinking","MoCALanguageskills","MoCAVisualspatialability","MoCAAttention"
"dbi1",-0.00690954403676907,0.0217422612898069,0.00525586363710523,-0.00700595232382613,0.00244847345179357,-0.00638712356367585,0.00224246925884655,0.00264827017720645,-0.0067625217408583,0.00330400113788932,0.0278240892407644,-0.00635224373243722,0.00577285364675792
"dbi2",-0.0721631164544973,-0.020678731614455,-0.0270185858160375,-0.0317832858446966,-0.000641519932788042,-0.00847010803917986,0.00349813430319188,-0.0139725862209713,-0.018793668765366,0.0311461278460229,-0.0133503743910561,0.0133042975005686,-0.0138044619599996
"dbi3",-0.0346896053370363,-0.102146363527065,-0.00312287491054012,-0.0191710143752868,0.00467163346172175,0.00828188113343552,-0.00299219479465143,0.0116243229454317,-0.0285518336768563,-0.0338971415220412,-0.0602882748855861,0.00982623214054576,-0.00649076950059192
"dbi4",0.0275039437295656,0.00933037489399352,-0.0153123036259609,0.0250114434231499,-0.00348903294497285,0.0180266696040348,-0.00381986524000954,-0.0162323618134784,-0.00101563172708829,0.0126316063865098,-0.00700159717204721,-0.00444355847533665,0.0300205720624683
"dbi5",0.0125857872350545,0.0809985960501835,-0.0369182472914313,-0.00591800125677275,0.00252174164764977,0.0355007984948072,-0.00328167060404472,-0.0208529130545674,0.0765197151434766,0.0237931292038142,0.0282650143223426,-0.00750934876537504,-0.0148137046581752
"dbi6",-0.0777198862760282,-0.305706882521323,-0.0159264913431811,-0.0247012688990621,-0.00354238792017175,-0.0113707959714202,0.00275248758930551,-0.00743762654676828,-0.0286527690065339,-0.0590232659864427,-0.106043276369048,-0.0758901159169739,-0.0425898912156154
"dbi7",0.0585964013264647,0.20432923089244,-0.0430331379077005,0.0438095701094088,0.0133018676778913,0.0136820462832915,-0.005710192380506,-0.0193286154166244,0.0804873038017639,0.0434951978055801,0.00515562474589967,0.0563799881773058,0.0441390798369007
"lbs",0.0137806357936534,0.000326342542239389,0.0128561431739101,0.00373852382286517,-0.00331647130240849,-0.00659485607184959,0.00106759251170853,0.00455493051495507,0.00552675956052003,-0.00816817399810734,0.00969300417410418,-0.00735329403696679,-0.00960407707389649
"hbs",-0.0043649417313349,-0.0273295455373639,-0.0070795399598673,-0.000454215962868503,-0.00515201826071973,-0.000619636820279334,0.00124002030649023,-0.0109246580668325,0.000713033450639824,-0.00294364584270315,0.00669830743535346,-0.0258539291422195,-0.000757475248380928
"dqd",0.00800623299298444,-0.00669894781156006,0.00671324660395266,0.00235545771536773,-0.00348570937232487,-0.00451221161092332,0.00101981856675654,0.00024200295604685,0.00383339702872793,-0.00614440036854382,0.00810364683862718,-0.0114115149461278,-0.00653941148559938
