"FA","mmse","moca","MMSEOrientation","MMSEComputation","MMSEMemory","MMSELanguageskill","MoCANaming","MoCAOrientation","MoCADelayedrecall","MoCAAbstractthinking","MoCALanguageskills","MoCAVisualspatialability","MoCAAttention"
"IL1¦Â2",-0.423206624169627,-0.411822363096456,-0.166192333884517,-0.046923938060779,0.00946659986195571,-0.0575466072371848,0.0240782689196202,-0.0606247256213014,-0.222965688742567,0.0681442317279354,-0.0496042268630012,-0.043373717880954,-0.105264374120765
"IL102",0.0104976857686566,-0.113923988806614,-0.00530768673497601,0.102057600063264,0.00176824829702276,-0.0367178249226547,0.00471937540926559,0.000865128292585259,-0.0263695410258857,0.0359785670428529,-0.155611091827006,0.0685007858256569,-0.0560057924960487
"NFkB2",-0.123756580502518,-0.172383723956599,-0.0261150091905947,-0.0660447057563918,0.00395165344441578,0.000536108997759535,0.00828254284361728,-0.00870332231876995,-0.0546463658969558,0.0065534191875608,-0.0359334665390509,-0.0189055183232171,-0.0526633602744824
"tnf3",-0.0610730006102943,-0.206890793313558,0.0211517298475146,-0.0290260378286025,-0.00370346238662091,-0.0550248621518677,0.0118356620708489,0.0193871010560434,-0.0690091856474198,0.0222524499745271,-0.0966815278402801,-0.0250212599155197,-0.0677035781858445
"hscrp3",0.187548219851003,0.0535699847647898,0.0118689945690979,-0.00819242850418115,-0.00570675363542235,0.0989826718382574,0.0235614550053781,-0.00702313212664149,-0.0962383035948032,0.0545112512610123,0.00358514546928078,0.015521106257855,0.00946718176215249
"crp3",0.142491143198301,0.163676548735389,0.0153385858772072,0.0362910751005158,-0.000607762212627667,0.0583985822262783,0.0152537639908479,-0.00330647311817063,-0.0400526149970036,0.0841892530526332,0.116943131076219,-0.126195341906327,0.0379163659184574
"lps",-3.03475138400285e-05,0.00549026042396932,-0.000418588471123212,0.000487771688336195,1.81295174123392e-06,0.00141366023083081,0.000478019514105489,-0.000268958663839234,0.00140106976421479,0.000871803486182348,-0.00202166012071646,0.00593247531452417,0.00103769822549163
"OGTT",0.00742587454705118,-0.0128477503292801,-0.00967405670216239,0.0237382936790294,-0.00551930614520938,0.00232624215195645,0.00596286588113502,-0.00508210601961778,0.00927984221870741,-0.00116735182563452,-0.0201342177616998,0.0157065938424656,-0.000639404046414881
"OGTT2",0.0158040274835595,0.0260808601514117,-0.00292244962942397,0.0114257774696928,-0.000629304692370486,0.00834761984636005,0.00292724426231322,-0.00692825993501721,0.0331786033934109,0.00671575152561933,-0.0245746327074352,0.0259308862307489,-0.0014798030121017
"insulin",-0.00394278945871815,-0.017470293989196,-0.00224210778813578,0.000462110006169781,9.95325516945458e-05,4.63339150913892e-05,8.06804013919699e-06,-0.00271602793639748,-0.00158132459386816,-0.00159895882670388,-0.00412760055964607,-0.00582400388057635,-0.00292609908205012
"homa2",0.0348271868152613,-0.979984985562627,-0.0191213773512603,0.312130003095599,-0.0122989580273796,0.0798271962709373,-0.0385205868170268,-0.0104500339124861,0.0284879686735167,-0.102120472572232,-0.411504431279131,-0.293902674079522,-0.0983600970481686
"quicki2",-1.55528845285571,1.20910858392887,-0.961672635970806,-1.48866513604697,0.0955194906359291,-0.300531620184213,0.155036651250353,-0.558118670192403,-0.857450447439643,0.0128004977210104,1.40890468381128,1.1494489154362,-0.345681577888697
