"FA","mmse","moca","MMSEOrientation","MMSEComputation","MMSEMemory","MMSELanguageskill","MoCANaming","MoCAOrientation","MoCADelayedrecall","MoCAAbstractthinking","MoCALanguageskills","MoCAVisualspatialability","MoCAAttention"
"C140p",-0.885022351067268,-0.375328984358984,-0.0850096632017972,-0.350322182894757,0.0130552738797027,-0.260092746628924,0.0103729203972887,-0.166352000010389,0.257408077330318,-0.276858821451223,-0.48015000753028,0.322693039971749,-0.234112155298475
"C150p",1.99113682580403,1.30889644817192,0.602775220300251,-1.31902022367991,0.0692086443764111,0.957073964832019,0.153793126998319,0.723580697230782,-0.61953482152181,-0.523206368236702,-1.02169546432864,1.72246396714151,1.2197210523607
"C160p",-0.0569810913636204,0.00245937935972646,-0.0346181342747958,0.007952468827608,0.000814673265477391,-0.0150920160306937,0.00218594108658057,-0.0323203461774844,0.0304091815335383,0.0173696499237735,-0.0437734386199647,0.0327370917073222,-0.00399528736896541
"C161p",-0.309445890839957,-0.117827466134464,0.0313707922340838,-0.115600666659329,-0.00734074772503992,-0.140821390831873,-0.0151619043885986,0.00108785859484822,-0.0596350244473363,-0.154142556749476,0.0528732782454145,0.0524313788748491,-0.040346910454537
"C170p",0.194141973792711,0.44338225992958,0.894022893742197,0.581605604788913,-0.0804251167227456,-0.790095464390875,-0.19751179631821,-0.0612626548569808,2.81475565079202,-1.04783508718647,0.366022303854041,-0.169270211908611,-0.139221917837978
"C180p",-0.0521875114497345,-0.0751053204750085,-0.0275452218491511,-0.00794186172240744,0.00160160209015735,-0.00347808106681091,-0.00218589632033747,-0.0217881196724456,-0.00375054365802028,0.0124765412765456,-0.0524151325703657,-0.00162688321139305,-0.0076721332466608
"C181n9cp",0.0151517439922763,0.126375552779018,0.0214506254859138,0.0120143202318709,-0.00279793703692397,-0.0050555700141708,0.0025045097542496,0.0158087217538351,0.0660065976277234,-0.00749174943543987,0.0341590072883656,0.0229187111015393,-0.0076967834214731
"C182n6p",0.0299628032924596,-0.0194136655266547,0.00951742993891089,-0.0113902863132931,0.000452159053799373,0.00828599474157096,-0.000548183229957635,0.0116108851319491,-0.0308451536272965,-0.00414941776525253,0.0241799634264389,-0.019655774557988,0.000418824454816883
"C183n6p",-0.410122988494139,0.305973492168276,0.540734625519694,-0.49303780209915,0.0473407869911306,-0.188673573959264,-0.0156924890586105,0.128425853727989,0.289837651843537,-0.927446176325752,0.84223848493885,0.0968596738320499,-0.51501455604104
"C183n3p",-0.0609681590757148,-1.01184649170384,0.0264123173431116,0.131699436334441,-0.0351884817310201,-0.200071040919256,-0.085948771802877,0.0316324219104104,-0.364423748079208,-0.100000660676183,-0.0147982058919579,-0.598000174528868,0.0686126815103137
"C203n6p",0.128442968924132,-0.206925541496451,0.197981274779258,-0.348917425139796,-0.00809995875081758,0.218966467793032,-0.0587932036088577,0.144377979584056,-0.132647185737233,-0.288076444836525,0.0472303005440809,0.0827876019226922,-0.159176517886549
"C204n6p",0.0885972904499197,0.115379730276259,0.0416234078498785,0.048694867253847,-0.000281777288489553,0.0181572014395544,-0.00474794076260048,0.0356397121878242,-0.00143038922849751,0.010636712127902,0.0268602204524674,0.0032281784249663,0.04299985576724
"C205n3p",0.19399158513589,0.290440908747664,-0.053528081322883,0.203130616698071,-0.00819586952549156,-0.117233761272543,0.050406084859987,-0.0682459845305463,-0.209889601941106,-0.105112866519936,0.274866331068427,0.297916671313759,0.146026014292413
"C226n3p",0.0399894684205409,-0.0445988862910745,-0.0410880959281042,0.0500667971938017,0.000493908610313824,0.0292415183611193,0.0253905600497409,-0.0852327896928688,0.0911711597578952,-0.0723176657208453,0.0834350119810083,-0.0558199528107105,0.0231091639383967
"sfa",-0.0642704048509751,-0.0387934239769699,-0.0185901288259128,-0.01366122889623,0.00135182509310178,-0.0181976828551247,0.00227269097891674,-0.0128306563682005,0.0140148624375093,0.0112015258347488,-0.0374137339254995,-0.00943040881183743,-0.00117329609162115
"mufa",0.0151517439922763,0.126375552779018,0.0214506254859138,0.0120143202318709,-0.00279793703692397,-0.0050555700141708,0.0025045097542496,0.0158087217538351,0.0660065976277234,-0.00749174943543987,0.0341590072883656,0.0229187111015393,-0.0076967834214731
"pufa",0.0572848238404575,0.00489286681223216,0.0129730573438893,0.0115049590608551,0.00106754177653896,0.0140448942142685,-0.00186339564200875,0.0160966798415545,0.00281413086646496,-0.0115416445124769,0.0110552348126505,-0.006767694698223,-0.00456436255072612
"n3",0.153936410327138,0.0494160470790961,-0.0311708924471299,0.0881182767891822,-0.00356608947099188,0.0367463647079759,0.00746991793509695,-0.0671805867554206,0.0498711494564833,-0.0705562281563755,0.0680157789277252,0.0174761737282292,0.0637855624860751
"n6",0.0497484873297599,0.00676731673115545,0.0118968210652001,0.0043533953648422,0.00132142128606304,0.0142247271036872,5.78741152598972e-07,0.0136001357232827,0.000763963816186677,-0.00477394128738312,0.0117468286732855,-0.0103474759351626,-0.00491646431026974
"scd16",-7.3850872986299,-3.83035437893389,1.82415663218211,-4.10962080718519,-0.226201119351031,-3.48756271166549,-0.562544912077757,0.752350186175949,-1.72056899818931,-5.41094871878575,2.3695924888361,0.978292430892804,-1.82212239400494
"scd18",0.266135701242466,0.718104839165831,0.118031716037203,0.124079902492491,-0.00360825447890574,0.0311396283898625,0.0175935879162312,0.0724856283645284,0.268249152907929,-0.0608340188193157,0.272026984659066,0.128837862879545,0.0294710981992505
"d6d",-20.9810803396276,18.2297877824395,14.5232364026255,-7.20138704966731,0.714660521187387,-12.0211278489624,-0.477721345394203,3.49062676937513,6.00535749821003,-21.4701263520659,22.9306598443696,6.71399098291411,-8.54030089098414
"d5d",0.022325760075899,0.0452512768248179,0.00224422243742559,0.0411965024444709,-0.000741815405243073,-0.0132271659478818,0.00414086986266723,0.00790057432435686,-0.00413351188804124,0.0225965140995563,0.0148531407438964,-0.00758504807107492,0.0271072170103552
