"FA","mmse","moca","MMSEOrientation","MMSEComputation","MMSEMemory","MMSELanguageskill","MoCANaming","MoCAOrientation","MoCADelayedrecall","MoCAAbstractthinking","MoCALanguageskills","MoCAVisualspatialability","MoCAAttention"
"dbi1",0.242805429477239,0.675187879474462,0.85693324205396,0.346464403968954,0.513384331278875,0.420957062178224,0.543926031660442,0.652322443480278,0.485445996565695,0.985444814673785,0.2521738427427,0.355150569172626,0.829297634025962
"dbi2",0.120841179782108,0.638079773374862,0.143733363008865,0.28568029777194,0.973001707922402,0.491479893651995,0.861679958217766,0.385268186448679,0.553512372323891,0.136359695971441,0.676331412391696,0.695855596807951,0.450868774581815
"dbi3",0.489623597089857,0.367964805754077,0.889561956316124,0.473723894332422,0.217646688318955,0.47533904744872,0.438648913641916,0.454826463142353,0.507877257487325,0.0751261625661941,0.036624359363303,0.619860834514272,0.608956247502334
"dbi4",0.0459829332864794,0.129698173314972,0.744387813665536,0.0768886405024363,0.364252197123999,0.0523912052089176,0.644763721799952,0.458484680083376,0.627536556753206,0.100802686473353,0.551053232803513,0.357834424964927,0.0058174547180189
"dbi5",0.420317764473493,0.228435358002475,0.270656157795194,0.834624588104341,0.771494190643574,0.160381188900005,0.822066358253786,0.476486268749204,0.0601916982328549,0.32748025051906,0.430213670730697,0.967765242967245,0.815027117866873
"dbi6",0.996024070427097,0.309293389415798,0.745697864245842,0.935135784513355,0.62935655325483,0.670903566292484,0.512307357857213,0.936458244160291,0.878261924437868,0.250650788562686,0.0359856028686489,0.536618533955638,0.701168100182806
"dbi7",0.0560815166610423,0.00247219852805882,0.532840023466787,0.212013946388131,0.0718284223251403,0.100092902113061,0.614595118647608,0.793218590694818,0.0252823169741733,0.059264222163221,0.176205369988531,0.0459272431541637,0.0779147124017718
"lbs",0.752897296857174,0.62436262534843,0.155628240118663,0.845565888978241,0.0632676574690822,0.250936579053412,0.583041894598178,0.556823367489004,0.934885670151498,0.253974313026043,0.717505067758653,0.352574868015533,0.304190056615175
"hbs",0.506948225995984,0.541604965913776,0.767186100246992,0.787349920313775,0.119269186726472,0.510179939342032,0.41181049099923,0.393096308196937,0.494693060226677,0.713373953521415,0.474609751544606,0.682685261765028,0.535752358977759
"dqd",0.560112806827199,0.935805323833836,0.330135510113163,0.771951632874214,0.0238620628443974,0.561836137082528,0.396365760672324,0.971402533579948,0.682678360304712,0.472226177455065,0.517443327673353,0.345571437492596,0.615923651737645
