"FA","mmse","moca","MMSEOrientation","MMSEComputation","MMSEMemory","MMSELanguageskill","MoCANaming","MoCAOrientation","MoCADelayedrecall","MoCAAbstractthinking","MoCALanguageskills","MoCAVisualspatialability","MoCAAttention"
"IL1¦Â2",0.00817489047511306,0.101358134580106,0.00679297564906082,0.561466094034575,0.598318208007409,0.273881167876491,0.309667459426987,0.173265579522488,0.0704370372366395,0.532550299578615,0.446400695816912,0.659119129188626,0.131788830090489
"IL102",0.939867119107136,0.752737996328719,0.835914079421294,0.235803515135611,0.917579012288032,0.533759009823568,0.717245965124423,0.806309450237707,0.773784848638562,0.390026929479309,0.0354306231478116,0.368098004681585,0.322631686947694
"NFkB2",0.00227087125065241,0.00828352885884372,0.0699302567056845,0.0124683077431944,0.495811818926613,0.727979339857381,0.1487396981383,0.282485609602715,0.0878040968193122,0.924354754529623,0.0640440800071594,0.32788388863787,0.00503453852882668
"tnf3",0.493039307957641,0.273770503737451,0.568447491858128,0.607215862530455,0.737514782207498,0.251690361868354,0.371415382095983,0.628498582341829,0.499261431996829,0.789970435920151,0.12743781204615,0.60446059665994,0.201685409968892
"hscrp3",0.404508292527217,0.73847003163272,0.689224148680114,0.99467510868786,0.743602247582329,0.31639442083544,0.292076829343,0.626689817639695,0.332417346293086,0.706158280005887,0.546272487511577,0.89453265048455,0.93958369262597
"crp3",0.737721559226672,0.76915108807567,0.672422604612491,0.714282667503838,0.952492618175849,0.832413427048819,0.428696049841114,0.625991018808934,0.474457202013423,0.508268757074048,0.651472113902688,0.208221358387127,0.886047344738464
"lps",0.8730018660697,0.532328039583394,0.82517854261054,0.891877885699446,0.840600553129368,0.258011611445668,0.353719453895638,0.720172840595362,0.769088292212756,0.409144123970629,0.375073135769361,0.0582937917256148,0.825990112610859
"OGTT",0.92789854907036,0.682680632004294,0.564577358523547,0.391883675375902,0.117574782404032,0.921068262797267,0.390938760141276,0.735225532964046,0.779857293645502,0.987382545954024,0.282612793217815,0.820589995436882,0.874175778219436
"OGTT2",0.607407900355459,0.359148534596479,0.420454849749958,0.791067540781555,0.763630977744207,0.855949431377937,0.673422468723168,0.16960124997528,0.419387623443475,0.874611419553634,0.011678164244279,0.581837202567937,0.341450322363196
"insulin",0.104806249591114,0.00940544274726388,0.0539678388889007,0.810099635224076,0.94528580417432,0.744474364100223,0.953920640756913,0.0215506804947087,0.26862713152421,0.469492702597913,0.0333928098684502,0.072932006294224,0.0639000824045433
"homa2",0.650606653162001,0.094154073208751,0.510252977972095,0.395513701516453,0.621404832514352,0.822931114875705,0.769809665539336,0.647878522103175,0.647793611331203,0.654471811518982,0.0364422520571535,0.365143352248961,0.361575002294384
"quicki2",0.668379621132077,0.360305310272961,0.311232461168929,0.213818389149592,0.48947926545268,0.791774558684817,0.693371504898307,0.458096251697364,0.863889399235927,0.940762671699676,0.0530516863883747,0.34452370250617,0.987481411241695
