"FA","mmse","moca","MMSEOrientation","MMSEComputation","MMSEMemory","MMSELanguageskill","MoCANaming","MoCAOrientation","MoCADelayedrecall","MoCAAbstractthinking","MoCALanguageskills","MoCAVisualspatialability","MoCAAttention"
"C140p",0.160686604078697,0.553921956773834,0.567773044422615,0.383210411325525,0.860091674408701,0.255191412118547,0.704194654096297,0.324397321448091,0.666846210224575,0.193351126902935,0.0825282231790799,0.460202457677387,0.363788372437207
"C150p",0.506139084987344,0.81128883409947,0.434935750543817,0.473428034972678,0.907527798417166,0.502568907659197,0.6425757337565,0.337656997305143,0.856775747555436,0.786738139638124,0.659631299627469,0.569800211048308,0.414706910509719
"C160p",0.107265412005564,0.839967871267378,0.0175115089596594,0.869954541440059,0.932530459701697,0.271453699435555,0.481338171074861,0.00329016341593935,0.360497548595951,0.308756835107499,0.0195523282499323,0.405100503318906,0.801110042561887
"C161p",0.136629085220319,0.661706399408819,0.738175665689663,0.429659070673327,0.754412732224992,0.0542023462555839,0.751785551725353,0.933693761115836,0.640093613762356,0.0358926204821718,0.770733563333389,0.563598447023923,0.700162582855702
"C170p",0.370613143788128,0.394384699600681,0.12533650868786,0.492283548087367,0.806811799447068,0.990820276422115,0.401774843334201,0.850032125793337,0.0609912842275929,0.589932765792677,0.507961353176249,0.765274684281977,0.57562901617225
"C180p",0.013968904455569,0.0300626317343392,0.00792241297723031,0.385497573127519,0.674519209549628,0.372316577351118,0.595682511167838,0.00448280640682624,0.585289871075941,0.633807357234489,0.000416712110194907,0.379207697523616,0.292184715151881
"C181n9cp",0.298890403738404,0.0197353922114272,0.0962726492376587,0.438289059574734,0.386199425105604,0.778055150328983,0.456343579180496,0.089944950472438,0.034275370148507,0.802431775874472,0.100323869890813,0.137584975543036,0.96046490478806
"C182n6p",0.0657486008423825,0.74233919938268,0.156919158463988,0.626915703124992,0.73664731151872,0.18151073772072,0.558643481702256,0.0397439565614731,0.224934486124937,0.945821399912645,0.0103157328051465,0.455515144588813,0.643968953217802
"C183n6p",0.11766323802645,0.248739831137716,0.471080729457106,0.155289008966582,0.673008584962649,0.19207044489793,0.881417806596667,0.9056402255998,0.761178239302596,0.00103121233649095,0.481594572005024,0.525489843824669,0.0246193133882397
"C183n3p",0.54954181713653,0.608831037688348,0.735030872148887,0.372064023591453,0.45364719965426,0.545947688345777,0.0114459218211758,0.612339876784383,0.593197851675437,0.870065027840105,0.77237128136696,0.152986049658299,0.362393329750216
"C203n6p",0.584478691139838,0.111932302200335,0.568605295698244,0.0849848615529577,0.909589111107855,0.585588847028702,0.028088859210803,0.516691884273748,0.379965945208873,0.00263416360664586,0.571014656394215,0.770177876355366,0.0905598114755313
"C204n6p",0.372739228029097,0.673172045866202,0.0842569051439632,0.217733416662425,0.949185132985841,0.834600267128192,0.513970545567636,0.0501125573484789,0.702993998817921,0.819408347116272,0.553688896512781,0.797367860705638,0.22487960806793
"C205n3p",0.826528107880284,0.871040439540912,0.920242429568484,0.673649685350482,0.932335566375577,0.616559783955595,0.388597306946583,0.864845884250188,0.627190411182325,0.581390120909727,0.251294378077378,0.598760619611007,0.866868472285244
"C226n3p",0.346600869391477,0.571163944319358,0.732238691480108,0.416752238558402,0.844414759661654,0.354926715086996,0.275972628681276,0.161970195298942,0.232740767818478,0.333624799829496,0.128590931038507,0.995203053479784,0.504252910564851
"sfa",0.00152631764511896,0.146031117161424,0.00966185697559997,0.270642841392557,0.750734426904484,0.0586664782104273,0.297211265843459,0.0311121442649978,0.682024145299647,0.769023303493435,0.0030252306002146,0.293840830112641,0.757453630540856
"mufa",0.298890403738404,0.0197353922114272,0.0962726492376587,0.438289059574734,0.386199425105604,0.778055150328983,0.456343579180496,0.089944950472438,0.034275370148507,0.802431775874472,0.100323869890813,0.137584975543036,0.96046490478806
"pufa",0.0819045839181767,0.970169797701357,0.139521540896944,0.626296025572065,0.762658349538936,0.430708141827304,0.250138125936808,0.027562066736688,0.885223094394621,0.279092786425045,0.55272762000432,0.773013162005772,0.62561714432282
"n3",0.0944920177208992,0.486124205117561,0.966544297331612,0.204343467472624,0.93630141408777,0.308105526214133,0.654901486453431,0.293270767613422,0.448476263380064,0.319684584150634,0.171179903007397,0.674513144696125,0.302992487638353
"n6",0.148448791912644,0.959567104801133,0.156178178109894,0.903640173424713,0.70822016289663,0.381724263575212,0.747248675671219,0.0556513484991608,0.975708660025637,0.589680507581688,0.488004357777003,0.581330113239245,0.649842989664953
"scd16",0.223548220710119,0.606457952491291,0.470507267493038,0.331203906407573,0.744840605732535,0.0919162821868188,0.639315318742299,0.611806459058578,0.62488340764254,0.0120959624118566,0.597433821817397,0.649785136537386,0.519071974845074
"scd18",0.0333360558656251,0.00517233296534891,0.038386761996876,0.163074661375994,0.771658707524783,0.338976559459423,0.365070404181724,0.0685081456858601,0.0466884324954716,0.918205820100195,0.00401421295983558,0.111590515050977,0.400425062520479
"d6d",0.055982781763758,0.367445681295835,0.593183201816505,0.323926369539477,0.762093266761239,0.0648306617383027,0.924287821369869,0.796088046185028,0.694477628928886,0.00399367738141045,0.43994237453447,0.749152003348265,0.0807639450529096
"d5d",0.361968822164434,0.202962534659205,0.505546736655693,0.0320550000145938,0.847166529441028,0.425503662657804,0.105321340258068,0.213526994925035,0.983959269256973,0.036715819052429,0.182019287827759,0.868426291478552,0.0336872031737416
