"FA","IL1¦Â2","IL102","NFkB2","tnf3","hscrp3","crp3","lps","OGTT","OGTT2","insulin","homa2","quicki2"
"C140p",0.151864259654588,0.821809155369368,0.514198607499415,0.990514063881188,0.226462981970306,0.443000123125383,0.31786225803514,0.0107718382118125,0.0407439666603445,0.833472756809535,0.00739599406987832,0.000424043776453981
"C150p",0.520404654930132,0.810059878215227,0.32597155266831,0.850681150850417,0.574520043394683,0.958008170051315,0.432752621887311,0.724394942772211,0.71962839262945,0.445049146735641,0.376692072619906,0.686025503638482
"C160p",0.229691959230029,0.00435489915337911,0.699537226709564,0.880514744229012,0.847257363810964,0.965701702344313,0.0137563035559038,0.394883451395981,0.181152673038693,0.358159411914254,0.0196799149677065,0.0360073679631328
"C161p",0.179122836170309,0.663759080276396,0.741597923169042,0.869690626642261,0.0456486523576343,0.0651357641313656,0.0245162278223416,0.352622825903757,0.917680894197761,0.646271655098264,0.245135953043606,0.154795130052776
"C170p",0.62912429737572,0.852602169656176,0.130510145795804,0.197504120160131,0.00691333219086619,0.00513781587433331,0.217692010594183,0.37761454180957,0.295515185518188,0.00995656596919195,0.325397385913305,0.462670646654452
"C180p",0.502572599152623,0.011644285177268,0.298025724079939,0.758820378344643,0.0190097051855975,0.0195111017783112,0.000223046261352633,0.185737690274946,0.0358144316167393,0.358775915893616,0.189291052328855,0.395796666258431
"C181n9cp",0.342483143427964,0.869782542103227,0.487869556711561,0.383544151096589,0.0161084230494266,0.109211340509756,0.0635262487795508,0.0104023869502707,0.00859899224890061,0.646920700322953,0.252926572783181,0.122565827745582
"C182n6p",0.753103386086329,0.00526287934991786,0.251928554972465,0.16099175147381,0.61753856609673,0.839145290776361,0.0492126328577025,0.683318200923181,0.998187295922178,0.245140185018647,0.000368457995696459,0.000635620362386489
"C183n6p",0.547545850011838,0.0443295933806508,0.510135758608193,0.647565122833184,0.970493154334148,0.345631630826539,0.201394818927739,0.180556419726177,0.990860999182781,0.373038213814066,0.656169102050588,0.953340310806916
"C183n3p",0.542788009263417,0.0418605004481008,0.569286519212262,0.272053019455206,0.992699548707416,0.857727398478654,0.00653651514776306,0.0306912967255093,0.00181395220450459,0.545141266738509,0.587259708810553,0.237461815710871
"C203n6p",0.200314955785381,0.0689428800218968,0.985690858001825,0.738874933531678,0.0645458072218731,0.355630832598243,0.412765603421221,0.13895072415211,0.67498859047229,0.810000008419593,0.334506246391235,0.433251009397176
"C204n6p",0.127475729892443,0.259035002553747,0.517830698904963,0.16943172950265,0.359207150625963,0.138570347371571,0.264718058555753,0.0449606553559596,0.825666718648293,0.400204293888903,0.888502365769394,0.976545121152725
"C205n3p",0.611419792390446,0.717563196216569,0.36588354857003,0.240675411424179,0.00905285715314884,0.0332564230880497,0.118516400908974,0.743073443861097,0.159429942541099,0.532114712107922,0.788480038053971,0.976955952116906
"C226n3p",0.324931919356462,0.941251298546105,0.377939653142903,0.233363023787953,0.385281535480376,0.564491838310079,0.817024568949989,0.0810378955993725,0.400324716713407,0.541043145253131,0.078742569481493,0.0369267010736785
"sfa",0.85658513234165,0.207246643343796,0.186420809496232,0.369677220042085,0.0728657232254603,0.149943152895477,0.042648119750975,0.86187155586573,0.248760438825661,0.980362580301011,0.809751194777056,0.903049854167846
"mufa",0.342483143427964,0.869782542103227,0.487869556711561,0.383544151096589,0.0161084230494266,0.109211340509756,0.0635262487795508,0.0104023869502707,0.00859899224890061,0.646920700322953,0.252926572783181,0.122565827745582
"pufa",0.446702499153538,0.0707867375809565,0.653636249395285,0.474791101404746,0.59029941399104,0.534372987301986,0.205944925996368,0.13925055139565,0.344533981835046,0.567600704900503,0.00805485404997477,0.000859456495974376
"n3",0.31411720712397,0.906571447314205,0.303224785456933,0.0278687070488696,0.0344035629050514,0.0779929914852128,0.115863546745785,0.395896681341626,0.303545607015345,0.851067482024064,0.389144393310285,0.325826077057883
"n6",0.375027192466547,0.0366819010006096,0.598418968681858,0.731889999047022,0.631497468939858,0.777822949705284,0.40705338461655,0.222128764878341,0.541694319206022,0.549358680969057,0.00634534782598428,0.00043009629122924
"scd16",0.29395573176852,0.414632538780568,0.957668805051721,0.770452140543293,0.0195984452278544,0.0377965055794764,0.00616669082984434,0.46650257382838,0.6944041269533,0.554165735511113,0.435539653112208,0.287328731821356
"scd18",0.281732766143523,0.366762066899002,0.752023195805151,0.899698577683861,0.0119670656980429,0.0543525901321397,0.000581048297914919,0.00832238630812354,0.00421559381522695,0.604965622259745,0.640652993411565,0.35326186067749
"d6d",0.448660161979772,0.17233645904896,0.46358861812622,0.514976174883072,0.993263020530702,0.482815065631446,0.276904018041727,0.275265597756197,0.913735437600439,0.255741430519552,0.207263830655333,0.310193509268494
"d5d",0.199151994339134,0.982132238148265,0.684728305613562,0.512075184025929,0.211373173473488,0.880837508398902,0.978541003728131,0.606722303888485,0.430114061698502,0.949134358378397,0.424763731808832,0.581650110750974
