"FA","IL1¦Â2","IL102","NFkB2","tnf3","hscrp3","crp3","lps","OGTT","OGTT2","insulin","homa2","quicki2"
"dbi1",0.860512575246576,0.861265660758743,0.187765433586108,0.379964604532381,0.0809378250160416,0.49716999643649,0.0990528546661585,0.447860938246914,0.256410869129942,0.410791346904043,0.615029679002599,0.863241692382893
"dbi2",0.190275285951915,0.977631758809799,0.82033954951258,0.725169944265006,0.316139464562586,0.0054355154522135,0.894025302044002,0.813645928787855,0.781820104483704,0.0684930857053701,0.0316148017337139,0.0334150299800582
"dbi3",0.367341298537689,0.0529195072358313,0.339314215662143,0.423442638146452,0.29140964431936,0.324775456848014,0.144313381807899,0.180910316354663,0.16222933767218,0.385860803978273,0.60786633873553,0.308935350169591
"dbi4",0.614029287669422,0.617228422882939,0.0241093682173252,0.493526082844401,0.135386625945391,0.889255555818622,0.731425833080276,0.358721423481434,0.247297701127128,0.582442588067678,0.806233517919432,0.429269569669875
"dbi5",0.896335014746771,0.115649431072827,0.980105749174154,0.633597400958026,0.205202324416159,0.341079922301571,0.453966344224017,0.334063176473713,0.494486063247087,0.210172351860995,0.207986599776215,0.573492748865758
"dbi6",0.949309193937664,0.504576349954965,0.256207438563452,0.622356656827343,0.117811172034643,0.181358342020515,0.544939605921571,0.586335062752837,0.844365772271858,0.340581444601523,0.74876442058431,0.923612679794923
"dbi7",0.319252222769504,0.217087829123092,0.510879269339891,0.955239736691378,0.244547641163911,0.204244212813417,0.1166133570894,0.585945956898803,0.586718833024176,0.44192479553861,0.718273659486671,0.945141334013793
"lbs",0.681068196815062,0.815118704451398,0.902988650373883,0.715236118499437,0.114504483542692,0.0343791773555049,0.0492287742894347,0.618525896541332,0.451650236885168,0.406743138154864,0.854701425948104,0.951922107706608
"hbs",0.951292210542531,0.259726507795686,0.466007232957779,0.596849983559047,0.210945838946029,0.607876802580671,0.573576017986888,0.0737887787104582,0.267395348938778,0.729314259142905,0.821653609944652,0.722004848175847
"dqd",0.721530087048404,0.453487580812574,0.788761126843106,0.980694885084027,0.0604207687092323,0.0529278552433417,0.197138472262673,0.619220717626419,0.249041873533131,0.627687743969007,0.795783081349107,0.895743993050701
